hours_studied,exam_score
0.6,26.7
0.9,45.5
1.0,22.4
1.3,36.7
1.5,42.7
1.6,47.3
1.6,48.4
1.7,49.9
1.7,39.6
1.8,39.3
2.1,53.5
2.2,44.8
2.2,35.0
2.4,37.8
2.4,39.7
3.0,57.0
3.2,55.3
3.3,61.0
3.5,52.4
3.6,58.4
3.7,63.4
3.8,55.7
4.2,65.6
4.2,55.5
4.3,59.0
4.3,58.8
4.4,52.2
4.5,68.1
4.5,59.5
4.5,63.9
5.2,73.3
5.3,73.8
5.9,80.2
6.0,74.1
6.2,72.7
6.2,75.8
6.3,62.1
6.3,64.2
6.4,66.1
6.5,69.8
6.5,82.3
6.8,72.9
6.9,78.3
7.0,94.2
7.1,80.0
7.1,89.9
7.1,74.8
7.2,82.2
7.2,75.4
7.3,81.7
7.5,93.8
7.5,70.7
7.6,90.9
7.6,89.1
7.8,83.2
8.1,77.7
8.4,93.6
8.7,90.5
8.8,98.1
8.8,96.2
